Atom	Chemical Shift	HSQC	HMBC	COSY	
1  C	24.40	14, 15, 16			
2  C	66.09	17	14, 15, 16, 18, 19, 20		
3  C	24.40	18, 19, 20			
4  O					
5  P					
6  O					
7  C	66.09	21	22, 23, 24, 25, 26, 27		
8  C	24.40	22, 23, 24			
9  C	24.40	25, 26, 27			
10  O					
11  C	66.09	28	29, 30, 31, 32, 33, 34		
12  C	24.40	29, 30, 31			
13  C	24.40	32, 33, 34			
14  H	1.26	1	2	17	
15  H	1.26	1	2	17	
16  H	1.26	1	2	17	
17  H	4.42	2		14, 15, 16, 18, 19, 20	
18  H	1.26	3	2	17	
19  H	1.26	3	2	17	
20  H	1.26	3	2	17	
21  H	4.42	7		22, 23, 24, 25, 26, 27	
22  H	1.26	8	7	21	
23  H	1.26	8	7	21	
24  H	1.26	8	7	21	
25  H	1.26	9	7	21	
26  H	1.26	9	7	21	
27  H	1.26	9	7	21	
28  H	4.42	11		29, 30, 31, 32, 33, 34	
29  H	1.26	12	11	28	
30  H	1.26	12	11	28	
31  H	1.26	12	11	28	
32  H	1.26	13	11	28	
33  H	1.26	13	11	28	
34  H	1.26	13	11	28	
