Atom	Chemical Shift	HMBC	HSQC	COSY	
1  C	15.12	16, 17	13, 14, 15		
2  C	28.83	13, 14, 15, 18, 21	16, 17		
3  C	150.32	13, 14, 15, 16, 17, 19, 20			
4  C	128.49	16, 17, 18, 21	18		
5  C	126.74	18, 19, 20, 21	19		
6  C	135.35	18, 19, 20, 21			
7  C	126.74	18, 19, 21	20		
8  C	128.49	16, 17, 18	21		
9  S					
10  O					
11  O					
12  O					
13  H	1.25	2, 3	1	16, 17	
14  H	1.25	2, 3	1	16, 17	
15  H	1.25	2, 3	1	16, 17	
16  H	2.70	1, 3, 4, 8	2	13, 14, 15	
17  H	2.70	1, 3, 4, 8	2	13, 14, 15	
18  H	7.29	2, 4, 5, 6, 7, 8	4	19	
19  H	7.79	3, 5, 6, 7	5	18	
20  H	7.79	3, 5, 6	7	21	
21  H	7.29	2, 4, 5, 6, 7	8	20	
22  H	11.19				
